coseq_kmeans	hclust	PrimaryStage	StageBias	Label
FBgn0004606	3	2	E4	E4	inverse_hourglass
FBgn0004629	6	5	E8	E8	uniform_low
FBgn0004636	4	2	E1	broad	late_constraint
FBgn0004638	6	2	E1	broad	uniform_low
FBgn0004647	3	2	E3	E3	inverse_hourglass
FBgn0004652	6	4	E8	E8	uniform_low
FBgn0004655	6	5	E1	E1	uniform_low
FBgn0004656	3	2	E4	broad	inverse_hourglass
FBgn0004657	4	2	E5	broad	late_constraint
FBgn0004687	3	2	E2	broad	inverse_hourglass
FBgn0004698	2	4	E1	broad	early_constraint
FBgn0004780	5	1	E6	E6	uniform_high
FBgn0004795	6	5	E1	E1	uniform_low
FBgn0004797	1	3	E5	broad	hourglass
FBgn0004811	4	2	E1	E1	late_constraint
FBgn0004837	4	2	E1	E1	late_constraint
FBgn0004839	5	2	E4	E4	uniform_high
FBgn0004856	3	1	E1	broad	inverse_hourglass
FBgn0004860	3	5	E2	E2	inverse_hourglass
FBgn0004861	3	5	E2	E2	inverse_hourglass
FBgn0004864	2	4	E3	broad	early_constraint
FBgn0004875	5	4	E5	broad	uniform_high
FBgn0004876	5	1	E4	broad	uniform_high
FBgn0004880	5	2	E3	E3	uniform_high
FBgn0004889	1	1	E6	broad	hourglass
FBgn0004893	3	3	E3	E3	inverse_hourglass
FBgn0004901	1	3	E3	E3	hourglass
FBgn0004903	1	4	E3	E3	hourglass
FBgn0004908	4	1	E2	E2	late_constraint
FBgn0004913	5	5	E2	E2	uniform_high
FBgn0004914	1	3	E8	broad	hourglass
FBgn0004924	6	2	E1	E1	uniform_low
FBgn0005198	4	2	E1	broad	late_constraint
FBgn0005355	6	2	E1	E1	uniform_low
FBgn0005427	1	1	E3	E3	hourglass
FBgn0005558	4	5	E2	E2	late_constraint
FBgn0005564	3	2	E6	E6	inverse_hourglass
FBgn0005586	5	3	E5	E5	uniform_high
FBgn0005612	4	2	E3	E3	late_constraint
FBgn0005617	4	5	E1	E1	late_constraint
FBgn0005624	5	3	E3	E3	uniform_high
FBgn0005632	1	3	E1	E1	hourglass
FBgn0005640	4	2	E3	broad	late_constraint
FBgn0005642	5	5	E3	E3	uniform_high
FBgn0005648	2	4	E3	E3	early_constraint
FBgn0005649	6	5	E1	broad	uniform_low
FBgn0005674	2	3	E4	E4	early_constraint
FBgn0005695	1	1	E5	E5	hourglass
FBgn0005771	4	1	E3	broad	late_constraint
FBgn0008635	3	2	E4	E4	inverse_hourglass
FBgn0010014	2	4	E7	E7	early_constraint
FBgn0010019	5	1	E5	E5	uniform_high
FBgn0010041	5	5	E8	E8	uniform_high
FBgn0010053	2	4	E7	broad	early_constraint
FBgn0010100	4	2	E6	broad	late_constraint
FBgn0010105	6	3	E2	E2	uniform_low
FBgn0010215	4	2	E3	broad	late_constraint
FBgn0010220	6	1	E2	broad	uniform_low
FBgn0010223	3	2	E7	E7	inverse_hourglass
FBgn0010226	4	3	E1	E1	late_constraint
FBgn0010235	6	1	E4	broad	uniform_low
FBgn0010238	4	1	E3	broad	late_constraint
FBgn0010246	2	4	E6	E6	early_constraint
FBgn0010247	4	5	E1	broad	late_constraint
FBgn0010263	3	3	E5	E5	inverse_hourglass
FBgn0010269	4	2	E2	broad	late_constraint
FBgn0010278	4	1	E2	E2	late_constraint
FBgn0010280	4	2	E1	broad	late_constraint
FBgn0010287	1	1	E2	E2	hourglass
FBgn0010288	4	5	E1	E1	late_constraint
FBgn0010292	1	1	E1	broad	hourglass
FBgn0010303	5	2	E4	broad	uniform_high
FBgn0010309	1	1	E5	E5	hourglass
FBgn0010313	3	2	E3	broad	inverse_hourglass
FBgn0010315	1	1	E1	E1	hourglass
FBgn0010316	4	2	E3	E3	late_constraint
FBgn0010339	1	3	E3	broad	hourglass
FBgn0010340	1	3	E2	E2	hourglass
FBgn0010341	6	3	E1	broad	uniform_low
FBgn0010352	3	3	E6	E6	inverse_hourglass
FBgn0010356	5	1	E1	broad	uniform_high
FBgn0010357	5	1	E7	E7	uniform_high
FBgn0010380	4	2	E4	broad	late_constraint
FBgn0010389	5	1	E4	E4	uniform_high
FBgn0010391	6	2	E4	E4	uniform_low
FBgn0010398	5	5	E2	E2	uniform_high
FBgn0010406	6	3	E1	E1	uniform_low
FBgn0010415	3	2	E4	broad	inverse_hourglass
FBgn0010416	1	1	E1	broad	hourglass
FBgn0010421	6	1	E1	E1	uniform_low
FBgn0010422	1	3	E1	broad	hourglass
FBgn0010434	3	2	E6	E6	inverse_hourglass
FBgn0010435	3	3	E5	E5	inverse_hourglass
FBgn0010441	1	1	E1	E1	hourglass
FBgn0010453	5	2	E4	E4	uniform_high
FBgn0010482	2	4	E6	E6	early_constraint
FBgn0010488	5	2	E4	broad	uniform_high
FBgn0010497	2	4	E6	E6	early_constraint
FBgn0010501	1	1	E2	E2	hourglass
FBgn0010504	1	4	E8	broad	hourglass
FBgn0010583	5	2	E4	broad	uniform_high
FBgn0010591	6	1	E6	E6	uniform_low
FBgn0010607	6	1	E1	E1	uniform_low
FBgn0010620	6	3	E6	broad	uniform_low
FBgn0010621	5	3	E4	broad	uniform_high
FBgn0010622	2	4	E1	broad	early_constraint
FBgn0010651	5	3	E3	broad	uniform_high
FBgn0010660	4	1	E2	E2	late_constraint
FBgn0010747	6	2	E4	broad	uniform_low
FBgn0010750	6	1	E1	E1	uniform_low
FBgn0010762	3	5	E4	E4	inverse_hourglass
FBgn0010772	3	2	E3	broad	inverse_hourglass
FBgn0010786	2	4	E4	E4	early_constraint
FBgn0010803	1	3	E7	broad	hourglass
FBgn0010812	4	1	E4	E4	late_constraint
FBgn0010825	4	2	E1	broad	late_constraint
FBgn0010905	3	2	E5	broad	inverse_hourglass
FBgn0010926	1	3	E1	E1	hourglass
FBgn0011202	1	1	E6	E6	hourglass
FBgn0011204	5	1	E1	E1	uniform_high
FBgn0011205	6	3	E7	broad	uniform_low
FBgn0011225	6	1	E2	E2	uniform_low
FBgn0011227	4	2	E7	broad	late_constraint
FBgn0011232	1	5	E3	E3	hourglass
FBgn0011259	3	2	E4	E4	inverse_hourglass
FBgn0011260	4	1	E3	broad	late_constraint
FBgn0011283	2	4	E7	E7	early_constraint
FBgn0011286	3	2	E4	E4	inverse_hourglass
